UID          PID    PPID  C STIME TTY          TIME CMD
root        1374       1  0 23:22 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        1375       1  0 23:22 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog      1377       1  0 23:22 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1378       1  0 23:22 ?        00:00:01 /usr/lib/snapd/snapd
root        1379       1  0 23:22 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        1382       1  0 23:22 ?        00:00:00 /usr/sbin/cron -f
root        1383       1  0 23:22 ?        00:00:00 /usr/sbin/cupsd -l
root        1384       1  0 23:22 ?        00:00:00 /usr/libexec/switcheroo-control
root        1385       1  0 23:22 ?        00:00:00 /lib/systemd/systemd-logind
root        1387       1  0 23:22 ?        00:00:00 /usr/lib/udisks2/udisksd
root        1388       1  0 23:22 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        1390       1  0 23:22 ?        00:00:00 /usr/sbin/zed -F
avahi       1409    1367  0 23:22 ?        00:00:00 avahi-daemon: chroot helper
root        1431       1  0 23:22 ?        00:00:00 /usr/sbin/cups-browsed
root        1444       1  0 23:22 ?        00:00:00 /usr/sbin/ModemManager
root        1462       1  0 23:22 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1473       1  0 23:22 ?        00:00:00 /usr/sbin/gdm3
root        1487    1473  0 23:22 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
whoopsie    1496       1  0 23:22 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1511       1  0 23:22 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1513       1  0 23:22 ?        00:00:00 /usr/sbin/kerneloops
ubuntu      1529       1  0 23:22 ?        00:00:00 /lib/systemd/systemd --user
ubuntu      1530    1529  0 23:22 ?        00:00:00 (sd-pam)
ubuntu      1537    1529  0 23:22 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
ubuntu      1539    1529  0 23:22 ?        00:00:00 /usr/libexec/tracker-miner-fs
ubuntu      1542       1  0 23:22 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
